total_weight_gr,Total Diskon,num_product_categories,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Total Pembayaran,Perkiraan Ongkos Kirim,discount_ratio,shipping_ratio,is_cod,has_shipping_discount,order_year,order_month,product_categories,Opsi Pengiriman,Metode Pembayaran,Kota/Kabupaten,Provinsi,net_qty,demand_level,label
50,0,1,0,8000,10000,8000,0.0,0.8,0,1,2024,1,Aksesoris ID Card,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. BEKASI,JAWA BARAT,2,Medium Demand,1
1000,0,1,0,10000,35663,10000,0.0,0.2804026582171999,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BANDUNG,JAWA BARAT,2,Medium Demand,1
600,0,1,0,10000,23187,10000,0.0,0.4312761461163583,1,1,2024,1,Plastik / Wadah Plastik,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. BOGOR,JAWA BARAT,1,Low Demand,0
700,0,1,0,8000,37400,8000,0.0,0.21390374331550802,1,1,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA DEPOK,JAWA BARAT,1,Low Demand,0
500,0,1,0,8000,21800,8000,0.0,0.3669724770642202,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KAB. BEKASI,JAWA BARAT,1,Low Demand,0
500,0,1,0,9500,20001,9500,0.0,0.47497625118744063,0,1,2024,1,Celengan,Reguler (Cashless)-SPX Standard,SeaBank Bayar Instan,KAB. TANGERANG,BANTEN,1,Low Demand,0
500,0,1,0,7500,18576,7500,0.0,0.4037467700258398,1,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA SERANG,BANTEN,1,Low Demand,0
400,0,1,0,9500,8800,9500,0.0,1.0795454545454546,1,1,2024,1,Keranjang,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. BEKASI,JAWA BARAT,2,Medium Demand,1
2400,0,2,0,8000,38845,8000,0.0,0.20594671128845413,0,1,2024,1,"Mangkok Sambal / Saus, Peralatan Makan",Hemat Kargo-SPX Hemat,SPayLater,KAB. BOGOR,JAWA BARAT,3,Medium Demand,1
200,0,1,0,8000,5000,8000,0.0,1.6,1,1,2024,1,Keranjang,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KOTA BEKASI,JAWA BARAT,1,Low Demand,0
500,0,1,0,8000,21800,8000,0.0,0.3669724770642202,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,Online Payment,KAB. BEKASI,JAWA BARAT,1,Low Demand,0
1700,0,1,9000,20000,77960,29000,0.0,0.3719856336582863,1,1,2024,1,Rak / Rak Serbaguna,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. BANJARNEGARA,JAWA TENGAH,1,Low Demand,0
400,0,1,0,8000,9320,8000,0.0,0.8583690987124464,1,1,2024,1,Botol / Gelas / Mug,Hemat Kargo-SPX Hemat,COD (Bayar di Tempat),KAB. TANGERANG,BANTEN,1,Low Demand,0
200,0,1,4500,10000,21280,14500,0.0,0.681390977443609,1,1,2024,1,Mangkok Sambal / Saus,Reguler (Cashless)-SPX Standard,COD (Bayar di Tempat),KAB. SIDOARJO,JAWA TIMUR,1,Low Demand,0
1000,0,1,5000,20000,47384,25000,0.0,0.5276042546007091,1,1,2024,1,Celengan,Agen SPX Express,COD (Bayar di Tempat),KAB. LABUHAN BATU,SUMATERA UTARA,2,Medium Demand,1
300,0,1,0,8000,12000,8000,0.0,0.6666666666666666,0,1,2024,1,Keranjang,Hemat Kargo-SPX Hemat,Saldo ShopeePay,KAB. TANGERANG,BANTEN,1,Low Demand,0
1000,0,1,0,13000,34205,13000,0.0,0.380061394532963,0,1,2024,1,Celengan,Reguler (Cashless)-SPX Standard,Saldo ShopeePay,KOTA BANDUNG,JAWA BARAT,2,Medium Demand,1
500,0,1,0,9000,17900,9000,0.0,0.5027932960893855,0,1,2024,1,Celengan,Hemat Kargo-SPX Hemat,SeaBank Bayar Instan,KAB. BANDUNG,JAWA BARAT,1,Low Demand,0
